instance_name,method,time_in_sec,conflicts,best_schedule
Example11.txt,SA + Min Conflict,2.4286,48,"Emp 0: D D A A D D D
Emp 1: D D A D D D D
Emp 2: D D - - A D D
Emp 3: A A - D D D D
Emp 4: A A D - - A A
Emp 5: D A A - D D D
Emp 6: D D D D D N N
Emp 7: A A - - D D D
Emp 8: A A A N D D D
Emp 9: A A - - D - -
Emp 10: D D D A - - -
Emp 11: - - D A A A A
Emp 12: - - - A - - -
Emp 13: D N N D D - -
Emp 14: D D D A D D D
Emp 15: A A D D - - -
Emp 16: - - A A N D D
Emp 17: D D D D - - -
Emp 18: D D D D - - D
Emp 19: D D - - - D D
Emp 20: N D D D D D D
Emp 21: D D A D - - -
Emp 22: D D D A A D D
Emp 23: D - - D D D D
Emp 24: - D D D D D D
Emp 25: D D D D D A A
Emp 26: D D - - - D A
Emp 27: - - - D - - A
Emp 28: D D - - D D A
Emp 29: - - D D D A A"
Example11.txt,Tabu + Min Conflict,1.7169,63,"Emp 0: - - - - D A A
Emp 1: - D - D D D A
Emp 2: D D - - - D D
Emp 3: D A A - - D D
Emp 4: D D D D D D D
Emp 5: - - D D - - -
Emp 6: D D D A A D D
Emp 7: D A A A - - -
Emp 8: - - D A A A A
Emp 9: D D D - - D D
Emp 10: - A A A D D D
Emp 11: D - - N N - -
Emp 12: D D D A A - A
Emp 13: - D D D D - -
Emp 14: A D D D D D D
Emp 15: - A A D D - -
Emp 16: - - D D - - -
Emp 17: D D - - D D D
Emp 18: D D - - D D A
Emp 19: D D N A - - -
Emp 20: D A A D D A A
Emp 21: N - - - - D D
Emp 22: - - - - D A D
Emp 23: A A D D - - A
Emp 24: D D D - D D D
Emp 25: A N A A D D D
Emp 26: D D - - D D D
Emp 27: D D D - - D N
Emp 28: D D - - D D D
Emp 29: D A D D D N -"
Example11.txt,Constraint-Guided + SA,2.2995,47,"Emp 0: D D A A D D D
Emp 1: D D A D D D A
Emp 2: D D A A - - -
Emp 3: A A D D N D D
Emp 4: - D D D D D D
Emp 5: A A D D A A D
Emp 6: A A - - D D D
Emp 7: A A D - - N D
Emp 8: D A - - D D D
Emp 9: D D - - D D D
Emp 10: D D D A A D D
Emp 11: D - - A D - -
Emp 12: D D A A - - -
Emp 13: - - D - - - -
Emp 14: - - D D - - -
Emp 15: D D A A D D N
Emp 16: A A A D D D A
Emp 17: A A D D D D D
Emp 18: D D D D D - -
Emp 19: D D N N - - D
Emp 20: N N D D - - -
Emp 21: - - - D D D D
Emp 22: D D D D A D D
Emp 23: D D - - - D D
Emp 24: - - - A D - -
Emp 25: D D - - - D A
Emp 26: D D D D D A A
Emp 27: D D D D D A A
Emp 28: D D - - - D A
Emp 29: - - - D D A A"
Example3.txt,SA + Min Conflict,1.9164,53,"Emp 0: A A N N D N N
Emp 1: D D N D D A N
Emp 2: A A N - - A A
Emp 3: D A - - D A N
Emp 4: D - - A A D D
Emp 5: A N A A A D D
Emp 6: D - - - A - -
Emp 7: - - - A N D D
Emp 8: A - - N N D D
Emp 9: A N D - - A A
Emp 10: N D D - - N A
Emp 11: D D D - - N A
Emp 12: N D D A - - -
Emp 13: N A A D N - -
Emp 14: N N A D D - -
Emp 15: - - A N N N N
Emp 16: - - - D A - -"
Example3.txt,Tabu + Min Conflict,1.4,34,"Emp 0: - - A N D D A
Emp 1: A - A A - - -
Emp 2: - - N N - - -
Emp 3: D D - - N N N
Emp 4: - - - A - D D
Emp 5: A A - A A A A
Emp 6: N N D D N N N
Emp 7: N N N - - D D
Emp 8: N A A N N N -
Emp 9: D D - - D A A
Emp 10: A N - - A A N
Emp 11: D - D D A - -
Emp 12: A A N D D - -
Emp 13: N N - - D D D
Emp 14: D D D - - A A
Emp 15: A A A A A - A
Emp 16: D D D D N N N"
Example3.txt,Constraint-Guided + SA,1.8499,37,"Emp 0: A A A D D N N
Emp 1: D N N - - N N
Emp 2: D A N D D A A
Emp 3: D D A N D D D
Emp 4: N N A A A N N
Emp 5: D D - - - D D
Emp 6: D D D N D D D
Emp 7: A A - - N A A
Emp 8: A D - - N D D
Emp 9: A N D - - - -
Emp 10: - - D A A A A
Emp 11: A - - N N A A
Emp 12: N - - A - - -
Emp 13: N A A - - - -
Emp 14: N - - A A - -
Emp 15: - - D D N N N
Emp 16: - - N D A - -"
Example1.txt,SA + Min Conflict,1.5585,23,"Emp 0: D N N A A D N
Emp 1: N N N A A D D
Emp 2: A A A N N N D
Emp 3: A A - N N A A
Emp 4: N D D D A A A
Emp 5: D D D D D A A
Emp 6: - - A - - - -
Emp 7: - - - D - - -
Emp 8: - - - A D N N"
Example1.txt,Tabu + Min Conflict,1.1244,19,"Emp 0: A A N N A A A
Emp 1: N N D N N D D
Emp 2: D D - - N N N
Emp 3: - - A - - D D
Emp 4: - - - D D - -
Emp 5: N N N - - N A
Emp 6: A A D A A A N
Emp 7: - - A A D - -
Emp 8: D D A A A - -"
Example1.txt,Constraint-Guided + SA,1.5498,8,"Emp 0: N N N - - D D
Emp 1: N N N - N N N
Emp 2: D D D N N A A
Emp 3: D D D D D - -
Emp 4: - - - A A D D
Emp 5: - - - D D A A
Emp 6: A A A A A - -
Emp 7: A A A - - A A
Emp 8: - - - A A N N"
Example13.txt,SA + Min Conflict,2.1366,40,"Emp 0: D D D N - A A
Emp 1: A A A D D - -
Emp 2: A A - D D D D
Emp 3: D D D D A A A
Emp 4: A A - D D D D
Emp 5: D D D D D D N
Emp 6: - - A A D D D
Emp 7: D D A A A A A
Emp 8: - - A D D D D
Emp 9: - - - D A D D
Emp 10: D D D D A D D
Emp 11: D D D A A D D
Emp 12: A A - - - - N
Emp 13: A A - - - D A
Emp 14: A A - D D D D
Emp 15: D D D D D A A
Emp 16: - - D - - N N
Emp 17: D D A N - - -
Emp 18: D D A - - - -
Emp 19: D D D - - A A
Emp 20: D D A A - - -
Emp 21: - - - D A - -
Emp 22: - - D D D D D
Emp 23: - - - - D A A"
Example13.txt,Tabu + Min Conflict,1.6191,61,"Emp 0: - - N - - A A
Emp 1: A A D D D D D
Emp 2: D D D D - - -
Emp 3: D A A D D - -
Emp 4: A - - D D A A
Emp 5: D D - N - - -
Emp 6: D D - - - D N
Emp 7: A A A D D - -
Emp 8: - D D D D A A
Emp 9: - - A A A D D
Emp 10: D D N - A D D
Emp 11: - - D - A - D
Emp 12: - - - D D A A
Emp 13: D D D - - N N
Emp 14: - D D D D D N
Emp 15: D D A A A D A
Emp 16: - D D D D D D
Emp 17: D D A A D D N
Emp 18: D A A - - D D
Emp 19: D D D D A - -
Emp 20: - - A A A A A
Emp 21: A A D D N - -
Emp 22: A N - D D D -
Emp 23: A A - N N A A"
Example13.txt,Constraint-Guided + SA,2.0713,38,"Emp 0: D D D N - - -
Emp 1: D D D N D D D
Emp 2: - - - - D D A
Emp 3: D D - - - A A
Emp 4: A A A A A - -
Emp 5: D D D A A D D
Emp 6: D D D D A D D
Emp 7: - - - D A D D
Emp 8: D D A D A D D
Emp 9: D D D D A D D
Emp 10: A A D D D D D
Emp 11: D D A D D D D
Emp 12: A A - - - A A
Emp 13: A A D D - - -
Emp 14: A A A D D A A
Emp 15: A A - D D A A
Emp 16: D D A - - N N
Emp 17: - - A - - - -
Emp 18: - - - D D D -
Emp 19: D D - - D D D
Emp 20: D D A A - - -
Emp 21: - - - D D A A
Emp 22: - - D A - - -
Emp 23: - - D D D A A"
Example5.txt,SA + Min Conflict,2.0246,65,"Emp 0: D A A D N N N
Emp 1: D A N N D A -
Emp 2: D A N - D A N
Emp 3: A D N - D A N
Emp 4: A D - N A D -
Emp 5: A D - N A D -
Emp 6: N N D A A D -
Emp 7: N - D A N - -
Emp 8: N - D A N - -
Emp 9: - N A D - - -
Emp 10: - N A D - - -"
Example5.txt,Tabu + Min Conflict,1.4968,20,"Emp 0: N N N A - A -
Emp 1: - - A N N - -
Emp 2: D D - N N - -
Emp 3: A A A A A - -
Emp 4: A A N N - - -
Emp 5: A D D D N A N
Emp 6: D D - A A - -
Emp 7: N N N - - D N
Emp 8: D D D D D D -
Emp 9: - A A A A A -
Emp 10: N N D D D D N"
Example5.txt,Constraint-Guided + SA,2.0536,65,"Emp 0: D A A D N N N
Emp 1: D A N N D A -
Emp 2: D A N - D A N
Emp 3: A D N - D A N
Emp 4: A D - N A D -
Emp 5: A D - N A D -
Emp 6: N N D A A D -
Emp 7: N - D A N - -
Emp 8: N - D A N - -
Emp 9: - N A D - - -
Emp 10: - N A D - - -"
Example6.txt,SA + Min Conflict,1.85,40,"Emp 0: D A A D N N N
Emp 1: D A N N D A -
Emp 2: A D N - D A N
Emp 3: A D - N A D -
Emp 4: N N D A A D -
Emp 5: N - D A N - -
Emp 6: - N A D - - -"
Example6.txt,Tabu + Min Conflict,1.2833,16,"Emp 0: N N N A A A N
Emp 1: D D - D D - -
Emp 2: - - D D A D D
Emp 3: - A A - D D -
Emp 4: D D - N N A A
Emp 5: A A A A - - -
Emp 6: N N N N N - N"
Example6.txt,Constraint-Guided + SA,1.8997,40,"Emp 0: D A A D N N N
Emp 1: D A N N D A -
Emp 2: A D N - D A N
Emp 3: A D - N A D -
Emp 4: N N D A A D -
Emp 5: N - D A N - -
Emp 6: - N A D - - -"
Example8.txt,SA + Min Conflict,1.8331,31,"Emp 0: D D A A - - N
Emp 1: D D A N N - -
Emp 2: D D A A - - N
Emp 3: D A D D - - N
Emp 4: - - - N N A A
Emp 5: D D D - - - -
Emp 6: A A N D D - -
Emp 7: A N - - D D D
Emp 8: - - N D D - -
Emp 9: A A - - A - -
Emp 10: - - D D A D D
Emp 11: A A A A A - -
Emp 12: N N A A A A A
Emp 13: N D D A A - -
Emp 14: N N N N - - -
Emp 15: A A D D D - -"
Example8.txt,Tabu + Min Conflict,1.3999,41,"Emp 0: - D D N N N N
Emp 1: - - D - A - -
Emp 2: D N D D D A A
Emp 3: A A A A A - -
Emp 4: A A A D D D D
Emp 5: A - - A - - -
Emp 6: A A A A A - -
Emp 7: N N N N N - -
Emp 8: D - - - D D -
Emp 9: N N N - - - -
Emp 10: D D D D - N -
Emp 11: D D D D D A N
Emp 12: D A A A A - -
Emp 13: A A N N - - -
Emp 14: N - - A A - -
Emp 15: - - - D D D N"
Example8.txt,Constraint-Guided + SA,1.8271,33,"Emp 0: D D A D D D N
Emp 1: D A D D N - -
Emp 2: D D D N - - N
Emp 3: A A A D - - N
Emp 4: D A N N D D D
Emp 5: A D D D D - -
Emp 6: A D D D - - -
Emp 7: - - - N D - -
Emp 8: A A - - D - -
Emp 9: A A - - A - -
Emp 10: N N N A A - -
Emp 11: - - A A A A A
Emp 12: D D D A A A A
Emp 13: N N A A A - -
Emp 14: - - A A N - -
Emp 15: N N N - - - -"
Example2.txt,SA + Min Conflict,1.5599,6,"Emp 0: N N N N N N N
Emp 1: - - - D D D D
Emp 2: D D D - - - -
Emp 3: N N N N A A A
Emp 4: - - - - D D D
Emp 5: D D D D - - -
Emp 6: A A A A N N N
Emp 7: A A A - - - -
Emp 8: - - - A A A A"
Example2.txt,Tabu + Min Conflict,1.2348,34,"Emp 0: A - - D D D D
Emp 1: A A A N - - -
Emp 2: - A A A N N N
Emp 3: - - D A A A A
Emp 4: - D D D D - -
Emp 5: N N N - - D D
Emp 6: - - - D D - -
Emp 7: N N N A A A A
Emp 8: D D D N N N N"
Example2.txt,Constraint-Guided + SA,1.5611,11,"Emp 0: N N N N D D D
Emp 1: A A A - - - -
Emp 2: A A - - A A A
Emp 3: D D D N N N N
Emp 4: D D D D - - -
Emp 5: - - - A A A A
Emp 6: - - A A N N N
Emp 7: N N N - - - -
Emp 8: - - - D D D D"
Example16.txt,SA + Min Conflict,2.4355,46,"Emp 0: D D D N D D D
Emp 1: D D D D - - -
Emp 2: A A D D D D D
Emp 3: D N - - D - -
Emp 4: D D D - - D D
Emp 5: D D N A D D D
Emp 6: - - - A D D D
Emp 7: D - - A - - -
Emp 8: - - D A A - -
Emp 9: D D D D D - -
Emp 10: - - D D A D D
Emp 11: D D D D A A D
Emp 12: D D D - - - A
Emp 13: D D A D D D A
Emp 14: - - A D D A A
Emp 15: A A D D N D D
Emp 16: D D D D - D D
Emp 17: D D - - - A N
Emp 18: A A - - A - -
Emp 19: D D - - - D D
Emp 20: N A A - D D A
Emp 21: A A A D - - -
Emp 22: D D A D D D D
Emp 23: - - D D D D D
Emp 24: - - - A A A A
Emp 25: A - - D D D D
Emp 26: - - - D A - -
Emp 27: D D D D D - -
Emp 28: - - D - - D D"
Example16.txt,Tabu + Min Conflict,1.7833,68,"Emp 0: D A N - - A -
Emp 1: - - D D D D D
Emp 2: D D D D - - D
Emp 3: D D D - - D A
Emp 4: D D D D - - A
Emp 5: D D D A A A D
Emp 6: D A A N D D D
Emp 7: D D D D D - -
Emp 8: - - A - - D D
Emp 9: A D D D A D D
Emp 10: D D - D A D D
Emp 11: D - - - D D D
Emp 12: A A A D D D D
Emp 13: A A A D D - -
Emp 14: - - - D D D A
Emp 15: A N D D D - -
Emp 16: - - A A - - D
Emp 17: D - - - D D D
Emp 18: D D D D D - -
Emp 19: - - D A A - -
Emp 20: A A - - D D -
Emp 21: - D D D D A A
Emp 22: D D - - A A A
Emp 23: D - - D - D D
Emp 24: N - - A - - D
Emp 25: N - - N N D D
Emp 26: D D D D D D A
Emp 27: D D D D N D N
Emp 28: D D D A A - N"
Example16.txt,Constraint-Guided + SA,2.3291,44,"Emp 0: D D N N D D D
Emp 1: A A A - - - -
Emp 2: D D D - - - -
Emp 3: A A D D A A D
Emp 4: A A D D D - -
Emp 5: N N A A - - -
Emp 6: D D D A A D D
Emp 7: D D D D D - -
Emp 8: D D D D - - -
Emp 9: D D D A D - -
Emp 10: - - - D D D D
Emp 11: - - - D D A D
Emp 12: D D D D D D A
Emp 13: D D A D N D D
Emp 14: D D A D D D A
Emp 15: A A D D A D D
Emp 16: A A D D - - A
Emp 17: - - - D D D N
Emp 18: D D D D - - -
Emp 19: A A D D D D D
Emp 20: A A A - - D D
Emp 21: D D - - - D D
Emp 22: - - - A D D D
Emp 23: D D D A A D D
Emp 24: D - - - D D D
Emp 25: D - - - A D D
Emp 26: - - - - A A A
Emp 27: D D D - - - -
Emp 28: - - - D D A A"
Example20.txt,SA + Min Conflict,10.2157,515,"Emp 0: D D D A D D D
Emp 1: D A A D A N D
Emp 2: D D D A D D D
Emp 3: D D - N D D D
Emp 4: D A A N D D D
Emp 5: D A A N D D D
Emp 6: D D D N - A D
Emp 7: D D D N - - D
Emp 8: D D D N D D D
Emp 9: D A D - D D D
Emp 10: D A D D D A D
Emp 11: D D D - D D D
Emp 12: D D D - - A D
Emp 13: D A A A D D D
Emp 14: D A D - D D D
Emp 15: D D D - D D D
Emp 16: D D A - D A D
Emp 17: D A - D D A D
Emp 18: D D D - D D D
Emp 19: D D D A D D D
Emp 20: D A D D D A D
Emp 21: D D D - D D D
Emp 22: D D D - - A D
Emp 23: D D A - D D D
Emp 24: D D D A - - D
Emp 25: D A D - D D D
Emp 26: D A D - D D D
Emp 27: D D D - A - D
Emp 28: D A - - A A D
Emp 29: D A - - D D D
Emp 30: D D D - A A D
Emp 31: D A A - A D D
Emp 32: D D - - D D D
Emp 33: D D D - D D D
Emp 34: D A D - D D D
Emp 35: D D D - - A D
Emp 36: D A D D D A D
Emp 37: D A A D D A D
Emp 38: D A D D D A D
Emp 39: D D D - D D D
Emp 40: D N - - D A D
Emp 41: D D D A D D D
Emp 42: D N D D D - D
Emp 43: D D A A A D D
Emp 44: D D D A - - D
Emp 45: D N N A D - D
Emp 46: D - D D D N D
Emp 47: D D D A D D D
Emp 48: D A D D D N D
Emp 49: D - A A D - D
Emp 50: D D D A A A D
Emp 51: D - - A D D D
Emp 52: D - A A - A A
Emp 53: D D D A A - A
Emp 54: D A D D D - A
Emp 55: D - - D D A A
Emp 56: D - D D D - A
Emp 57: D - N - D - A
Emp 58: D D D A D - A
Emp 59: D - D D D - A
Emp 60: D D - A - A A
Emp 61: D - A A D - A
Emp 62: D - D D D A A
Emp 63: D D A A - - A
Emp 64: D - D D D A A
Emp 65: D - D A A D N
Emp 66: D - D A A A N
Emp 67: D - D A A D N
Emp 68: D - A D D D N
Emp 69: D - A D D D N
Emp 70: D A A A A D -
Emp 71: D A A D A D -
Emp 72: A D N D D N -
Emp 73: A - A D A A -
Emp 74: A D D D A A -
Emp 75: A D D D A - -
Emp 76: A D N A A D -
Emp 77: A D - D A D -
Emp 78: A D - D D - -
Emp 79: A D D D A - -
Emp 80: A - - D D D -
Emp 81: A D - A A A -
Emp 82: A - - D D D -
Emp 83: A A - A A D -
Emp 84: A D - D D - -
Emp 85: A A - D D D -
Emp 86: A A - D A D -
Emp 87: A D - D D D -
Emp 88: A D A - A - -
Emp 89: A D - D D D -
Emp 90: A D D D A A -
Emp 91: A D D - A D -
Emp 92: A D D D A D -
Emp 93: A A - A A N -
Emp 94: A D - D A D -
Emp 95: A D - - A A -
Emp 96: A D - D A - -
Emp 97: A D - D D D -
Emp 98: A A - - A D -
Emp 99: A D D D A A -
Emp 100: A - - D D D -
Emp 101: A - - D D N -
Emp 102: A D - D D D -
Emp 103: A D - D D D -
Emp 104: A - D D A A -
Emp 105: A A N D D A -
Emp 106: A A - A A A -
Emp 107: A D D D A - -
Emp 108: A - - - N A A
Emp 109: A D D D N - A
Emp 110: A A D D N D A
Emp 111: N - D D - - A
Emp 112: N D D D - - A
Emp 113: N D A A A A A
Emp 114: N - A - - - A
Emp 115: N D D D - - A
Emp 116: - D A A N D A
Emp 117: - D A A N A A
Emp 118: - A A D D A A
Emp 119: - D D D - D A
Emp 120: - A D D - - A
Emp 121: - D D - - D A
Emp 122: - D A D D D A
Emp 123: - - D D - D A
Emp 124: - D D D - D A
Emp 125: - N A D - D A
Emp 126: - D D D - A A
Emp 127: - D A D D D A
Emp 128: - - A A - D A
Emp 129: - D A D - D A
Emp 130: - D D D - D A
Emp 131: - D A A - D A
Emp 132: - A A D - - A
Emp 133: - - - D D D A
Emp 134: - D A D D D A
Emp 135: - D A D D A -
Emp 136: - N A D - D -
Emp 137: - D D D - D -
Emp 138: - A D D - A -
Emp 139: - A A - - D -
Emp 140: - D A D D D -
Emp 141: - - A D A - D
Emp 142: - D A - A A D
Emp 143: - D D D - - D
Emp 144: - D D D - - D
Emp 145: - D A D A - D
Emp 146: - A A A D - D
Emp 147: - A A - D D D
Emp 148: - D A A A - D
Emp 149: - D A - N - D
Emp 150: - D A - D D D
Emp 151: - - D D A - D
Emp 152: - - D D D - D
Emp 153: - A D A D D D
Emp 154: - A D D D - D
Emp 155: - - - A D - D
Emp 156: - - D D D - D
Emp 157: - - D A A - D
Emp 158: - - D A D D D
Emp 159: - A D A D D D
Emp 160: - - D A D D D
Emp 161: - - D A A - D
Emp 162: - - D A D D D"
Example20.txt,Tabu + Min Conflict,7.8051,309,"Emp 0: - - A - N N -
Emp 1: D A A - - - -
Emp 2: A A - A - - D
Emp 3: A D D D A A N
Emp 4: - D D A A - D
Emp 5: A A - - D D -
Emp 6: D A D A A A D
Emp 7: - D D D D D D
Emp 8: - D D N D D -
Emp 9: A A - - D A A
Emp 10: D A A - A - A
Emp 11: A A A A A - -
Emp 12: A - D A A A -
Emp 13: D D - D - A A
Emp 14: D D D - - A A
Emp 15: D D D - A A D
Emp 16: D N - - - - -
Emp 17: D D D - - A A
Emp 18: - - D D A A -
Emp 19: D A A A A D D
Emp 20: D D - D D D D
Emp 21: D D - D D D -
Emp 22: D D D A A A N
Emp 23: A A - D D D D
Emp 24: D D D D D N N
Emp 25: D A D D D - D
Emp 26: D A A A D D D
Emp 27: D - D D D D D
Emp 28: - - D D D D D
Emp 29: D D D - D - D
Emp 30: D D D A D - D
Emp 31: D D D - - A A
Emp 32: D A - - - - D
Emp 33: D D A N N D D
Emp 34: D D D - A A A
Emp 35: D D D D A A -
Emp 36: A A D D D A D
Emp 37: - A D - - D D
Emp 38: D - D D D - A
Emp 39: D D - - D D D
Emp 40: - N D D D A A
Emp 41: D - - D D D D
Emp 42: D D A D D - D
Emp 43: D D - A D D D
Emp 44: D D A A D D D
Emp 45: D D A D D D D
Emp 46: D - D D - D D
Emp 47: - - D A A D D
Emp 48: D D D N D D -
Emp 49: N D D A A A A
Emp 50: - N D D D D D
Emp 51: - A A D D D D
Emp 52: D D A A A - A
Emp 53: A D D D D D D
Emp 54: D D A A A A A
Emp 55: A - D D D D D
Emp 56: - - D D D D D
Emp 57: D D D D D - A
Emp 58: D - - A D A -
Emp 59: D D D D D D -
Emp 60: - - D D D D D
Emp 61: D - D D - - D
Emp 62: - - D D D - D
Emp 63: - D D - A A A
Emp 64: - D D A D D -
Emp 65: D - D D D - D
Emp 66: D D - A A A -
Emp 67: D D D A A A -
Emp 68: D A A D D D D
Emp 69: D D - D D - D
Emp 70: D A A D D D D
Emp 71: D D D D A D D
Emp 72: D D A - A - -
Emp 73: D D D A A D D
Emp 74: A A N D D D D
Emp 75: A - D D D D D
Emp 76: A - N - - A -
Emp 77: A A D D - - -
Emp 78: D D - D D D -
Emp 79: A D - A D D A
Emp 80: D A - - - - D
Emp 81: A A - D A N -
Emp 82: A - - D D - D
Emp 83: N N N D D D A
Emp 84: A A D D - - A
Emp 85: N N - - D D A
Emp 86: A D - A A A -
Emp 87: - A D D D - -
Emp 88: D D - A A D D
Emp 89: A D D D A - D
Emp 90: - D - D D D -
Emp 91: N D D D D D D
Emp 92: D D D D D D A
Emp 93: - D D D A A D
Emp 94: - - - D - D D
Emp 95: A - - N A A A
Emp 96: A N - - D D -
Emp 97: A D D D - - D
Emp 98: A A A A A - A
